Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.0,0.58,68.75,0.58,0.05,0.05,48.23,83.67,0.89,0.63,4.37,1.95,1.89,3.26,0.32,45.95,0.74,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,Kayserispor,
0.0,1.21,68.0,0.43,0.21,0.21,35.52,85.71,1.07,0.14,2.35,2.21,0.5,4.06,0.36,55.36,0.64,Arnaud Lusamba,arnaud-lusamba,Pendikspor,
0.0,0.87,54.84,0.67,0.15,0.1,29.06,81.29,1.08,0.31,2.21,2.83,0.21,6.12,0.46,59.26,2.47,Charis Charisis,charis-charisis,Sivasspor,
0.0,0.78,50.0,0.63,0.0,0.0,23.35,73.39,0.42,0.14,1.62,3.46,1.06,5.92,1.97,66.67,1.76,Mehmet Aydın,mehmet-aydin,Trabzonspor,
0.0,0.27,66.67,0.8,0.07,0.2,51.98,85.75,0.8,0.47,3.92,1.26,0.66,3.06,1.2,49.61,1.53,Jakub Kałuziński,jakub-kaluzinski,Antalyaspor,
0.0,0.65,32.26,0.78,0.26,0.0,31.67,81.99,1.5,0.39,2.28,1.43,0.65,4.55,0.52,49.06,2.47,Flavien Tait,flavien-tait,Yılport Samsunspor,
0.0,1.16,42.5,1.57,0.21,0.14,18.12,75.5,2.12,1.37,1.03,0.96,0.27,2.87,0.34,41.59,0.82,Zymer Bytyqi,zymer-bytyqi,Antalyaspor,
0.0,1.9,53.66,3.11,1.21,0.35,32.1,81.05,2.07,0.43,1.04,0.69,0.43,4.06,0.69,41.35,1.55,Tetê,tete,Galatasaray,
0.0,1.43,35.71,2.28,0.43,0.29,20.68,71.08,0.86,0.57,0.57,2.57,0.86,5.71,2.71,51.75,1.71,Oğulcan Çağlayan,ogulcan-caglayan,Kasımpaşa,
0.0,0.96,65.0,0.59,0.07,0.07,48.59,86.32,1.26,0.59,4.59,1.48,1.11,3.11,0.52,49.49,0.67,Sofiane Feghouli,sofiane-feghouli,Fatih Karagümrük,
0.0,0.68,66.67,0.27,0.14,0.07,32.12,86.18,0.41,0.0,3.52,2.98,2.1,4.61,1.36,48.35,0.95,Yunus Konak,yunus-konak,Sivasspor,
0.0,1.13,78.95,0.76,0.15,0.0,24.99,79.57,0.68,0.0,1.51,3.17,2.04,6.34,1.36,54.84,2.04,Erdal Rakip,erdal-rakip,Antalyaspor,
0.0,0.69,55.56,0.62,0.0,0.07,38.53,85.56,0.76,0.07,3.6,1.94,0.83,3.8,0.69,48.51,1.25,İbrahim Akdağ,ibrahim-akdag,Sivasspor,
0.0,0.13,25.0,1.18,0.46,0.0,38.85,86.4,0.59,0.2,2.24,1.25,1.45,2.43,2.5,50.0,1.05,Bakhtiyar Zaynutdinov,bakhtiyar-zaynutdinov,Beşiktaş,
0.0,0.82,100.0,1.15,0.33,0.0,28.52,82.46,0.33,0.0,2.79,3.44,1.48,5.25,1.97,57.14,0.98,Hakan Arslan,hakan-arslan,Sivasspor,
0.0,4.62,69.84,2.21,0.84,0.11,25.1,87.55,0.74,0.21,2.1,0.84,0.63,6.93,0.42,60.34,1.47,Anastasios Chatzigiovanis,anastasios-chatzigiovanis,MKE Ankaragücü,
0.0,1.75,54.0,0.78,0.26,0.19,34.38,79.73,1.42,0.65,2.01,1.36,0.58,4.27,0.45,40.33,1.17,Fredrik Midtsjø,fredrik-midtsjo,Pendikspor,
0.0,0.82,41.67,0.82,0.33,0.0,56.29,91.49,1.47,0.0,1.96,2.62,1.47,4.25,3.11,50.56,0.82,Demir Ege Tıknaz,demir-ege-tiknaz,Beşiktaş,
0.0,0.66,62.5,0.57,0.13,0.09,37.6,89.71,0.57,0.09,0.97,1.14,0.79,2.6,0.7,49.02,0.79,Berkay Özcan,berkay-ozcan,Başakşehir FK,
0.0,2.17,50.0,1.09,0.63,0.27,23.34,76.33,1.09,0.63,0.72,2.98,0.63,6.42,0.27,47.74,1.27,Ömer Faruk Beyaz,omer-faruk-beyaz,Hatayspor,
0.0,0.36,39.13,1.15,0.28,0.0,31.44,81.8,0.16,0.0,2.39,1.27,1.15,3.18,0.72,50.78,1.59,Soner Dikmen,soner-dikmen,Konyaspor,
0.0,0.96,41.67,1.35,0.19,0.0,44.71,89.23,1.54,0.0,0.19,2.51,1.54,6.17,1.73,55.41,2.7,Tanguy Ndombélé,tanguy-ndombele,Galatasaray,
0.0,0.43,57.14,1.29,0.0,0.11,28.21,82.13,1.29,0.43,1.08,0.86,0.75,2.05,0.97,39.44,0.75,Danijel Aleksić,danijel-aleksic,Başakşehir FK,
0.0,0.41,50.0,0.41,0.14,0.0,55.44,88.91,1.22,0.0,2.03,1.22,0.95,2.58,1.36,43.94,0.95,Otabek Shukurov,otabek-shukurov,Kayserispor,
0.0,0.8,34.38,0.95,0.51,0.29,29.85,77.5,1.09,0.95,1.53,1.17,0.58,3.28,0.51,41.94,1.38,Ramazan Civelek,ramazan-civelek,Kayserispor,
